Serial Number,Device Name,Device os version, Device IP address
JMX2015416,DTX-MRT-5506X-ASA01,9.8(4)15,10.4.238.1
JMX1652412,ShermanTX-5505-ASA01,9.2(4)33,71.96.92.162
JMX2203G37,LABASA1,9.6(4)34,192.168.120.1
JMX2237G0H,TTX-5506X-ASA01,9.6(4)20,192.168.130.200
ta,1GEMgmt,CDC-5545X-ASA01, 9.10(1),255.255.255.192
JMX1128L0M,PinnacleASA,n 8.0(4),10.10.0.20
JMX2207G1B,AUSTX-5506X-ASA01,9.6(4)20,192.168.0.1
JMX2047Y27,MCK-INTRANET-5506X-ASA,n 9.9(2),10.2.254.65
JMX2306G0X,ARLTX-5508X-ASA01,9.9(2)40,172.28.26.1
JMX2211G03,LNV-5506X-ASA01,9.6(4)20,24.234.192.130
JMX2215G0F,CMD-5506X-ASA01,n 9.9(2),172.28.14.1
JMX2306G0U,FTMFL-5508X-ASA01,9.9(2)40,172.28.4.1
JMX1745Z0C,FTLFL-5505-ASA01,9.2(4)33,207.239.156.186
JMX2030Y3B,DCO-5506X-ASA01,9.6(4)20,10.64.2.1
JMX2305G02,PAZ-5508X-ASA01,9.9(2)40,172.28.22.1
JMX2413X15,SWA-FPR1120-FTD01,9.13(1)7,10.8.0.1
